Año,Mes,Tipo_Categoria,Nombre,Accidentes_Mortales,Accidentes_Trabajo,Incidentes_Peligrosos,Enfermedades_Ocupacionales,Total_Notificaciones,Porcentaje_Accidentes
2026,Enero,Actividad Economica,INDUSTRIAS MANUFACTURERAS,6.0,675.0,2.0,0.0,683.0,16.22206200432588
2026,Enero,Actividad Economica,"ACT. INMOBILIARIAS, EMP. Y ALQ.",7.0,623.0,6.0,0.0,636.0,14.972362412881507
2026,Enero,Actividad Economica,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES,2.0,502.0,2.0,0.0,506.0,12.06440759432828
2026,Enero,Actividad Economica,"TRANSPORTES, ALMACENAM. Y COMUN.",9.0,410.0,10.0,0.0,429.0,9.85340062484979
2026,Enero,Actividad Economica,HOTELES Y RESTAURANTES,0.0,423.0,0.0,0.0,423.0,10.16582552271088
2026,Enero,Actividad Economica,CONSTRUCCIÓN,1.0,375.0,2.0,0.0,378.0,9.01225666906993
2026,Enero,Actividad Economica,"ADM.PÚBLICA, PLANES DE SEG.,SOC.",0.0,254.0,3.0,0.0,257.0,6.1043018505167
2026,Enero,Actividad Economica,SERVICIOS SOCIALES Y DE SALUD,0.0,230.0,4.0,15.0,249.0,5.52751742369622
2026,Enero,Actividad Economica,"OTRAS ACT.,SERV.COM.,SOC.Y PER.",0.0,240.0,2.0,0.0,242.0,5.76784426820475
2026,Enero,Actividad Economica,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0,195.0,1.0,0.0,196.0,4.68637346791636
2026,Enero,Actividad Economica,"AGRICULT.,GANAD.,CAZA Y SILVIC.",0.0,49.0,0.0,0.0,49.0,1.1776015380918
2026,Enero,Actividad Economica,PESCA,0.0,25.0,1.0,0.0,26.0,0.6008171112713201
2026,Enero,Actividad Economica,INTERMEDIACIÓN FINANCIERA,3.0,20.0,1.0,0.0,24.0,0.4806536890170599
2026,Enero,Actividad Economica,ENSEÑANZA,0.0,19.0,1.0,0.0,20.0,0.45662100456621
2026,Enero,Actividad Economica,"SUMIN.,ELECTRICIDAD, GAS Y AGUA",1.0,12.0,0.0,0.0,13.0,0.28839221341023
2026,Enero,Actividad Economica,NO DETERMINADO,1.0,109.0,0.0,0.0,110.0,2.61956260514299
2026,Febrero,Actividad Economica,INDUSTRIAS MANUFACTURERAS,0.0,761.0,3.0,0.0,764.0,18.52934015096177
2026,Febrero,Actividad Economica,"ACT. INMOBILIARIAS, EMP. Y ALQ.",6.0,632.0,7.0,0.0,645.0,15.388361334307271
2026,Febrero,Actividad Economica,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES,1.0,464.0,6.0,0.0,471.0,11.29778427075724
2026,Febrero,Actividad Economica,"TRANSPORTES, ALMACENAM. Y COMUN.",2.0,424.0,6.0,0.0,432.0,10.32383735086437
2026,Febrero,Actividad Economica,CONSTRUCCIÓN,8.0,368.0,3.0,0.0,379.0,8.96031166301436
2026,Febrero,Actividad Economica,HOTELES Y RESTAURANTES,0.0,352.0,2.0,1.0,355.0,8.57073289505721
2026,Febrero,Actividad Economica,"ADM.PÚBLICA, PLANES DE SEG.,SOC.",7.0,292.0,8.0,0.0,307.0,7.10981251521792
2026,Febrero,Actividad Economica,EXPLOTACIÓN DE MINAS Y CANTERAS,1.0,206.0,0.0,0.0,207.0,5.01582663744825
2026,Febrero,Actividad Economica,"OTRAS ACT.,SERV.COM.,SOC.Y PER.",1.0,199.0,0.0,0.0,200.0,4.845385926467
2026,Febrero,Actividad Economica,SERVICIOS SOCIALES Y DE SALUD,1.0,172.0,1.0,8.0,182.0,4.18797175553932
2026,Febrero,Actividad Economica,"AGRICULT.,GANAD.,CAZA Y SILVIC.",1.0,68.0,1.0,0.0,70.0,1.6557097638178702
2026,Febrero,Actividad Economica,PESCA,0.0,24.0,0.0,0.0,24.0,0.58436815193571
2026,Febrero,Actividad Economica,INTERMEDIACIÓN FINANCIERA,0.0,20.0,0.0,0.0,20.0,0.48697345994643
2026,Febrero,Actividad Economica,"SUMIN.,ELECTRICIDAD, GAS Y AGUA",1.0,17.0,0.0,0.0,18.0,0.41392744095446
2026,Febrero,Actividad Economica,ENSEÑANZA,1.0,17.0,0.0,0.0,18.0,0.41392744095446
2026,Febrero,Actividad Economica,NO DETERMINADO,4.0,91.0,0.0,0.0,95.0,2.21572924275627
2026,Marzo,Actividad Economica,INDUSTRIAS MANUFACTURERAS,0.0,808.0,7.0,0.0,815.0,20.02478314745972
2026,Marzo,Actividad Economica,"ACT. INMOBILIARIAS, EMP. Y ALQ.",3.0,639.0,3.0,0.0,645.0,15.836431226765798
2026,Marzo,Actividad Economica,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES,0.0,499.0,7.0,0.0,506.0,12.36679058240396
2026,Marzo,Actividad Economica,CONSTRUCCIÓN,2.0,390.0,2.0,0.0,394.0,9.66542750929368
2026,Marzo,Actividad Economica,"TRANSPORTES, ALMACENAM. Y COMUN.",3.0,373.0,4.0,0.0,380.0,9.244114002478309
2026,Marzo,Actividad Economica,HOTELES Y RESTAURANTES,0.0,336.0,2.0,0.0,338.0,8.3271375464684
2026,Marzo,Actividad Economica,"ADM.PÚBLICA, PLANES DE SEG.,SOC.",8.0,234.0,2.0,0.0,244.0,5.7992565055762
2026,Marzo,Actividad Economica,"OTRAS ACT.,SERV.COM.,SOC.Y PER.",1.0,199.0,0.0,0.0,200.0,4.931846344485749
2026,Marzo,Actividad Economica,EXPLOTACIÓN DE MINAS Y CANTERAS,2.0,179.0,3.0,0.0,184.0,4.4361833952912
2026,Marzo,Actividad Economica,SERVICIOS SOCIALES Y DE SALUD,1.0,149.0,3.0,19.0,172.0,3.69268897149938
2026,Marzo,Actividad Economica,"AGRICULT.,GANAD.,CAZA Y SILVIC.",2.0,66.0,2.0,0.0,70.0,1.635687732342
2026,Marzo,Actividad Economica,ENSEÑANZA,0.0,20.0,3.0,0.0,23.0,0.49566294919454
2026,Marzo,Actividad Economica,"SUMIN.,ELECTRICIDAD, GAS Y AGUA",0.0,17.0,0.0,0.0,17.0,0.4213135068153599
2026,Marzo,Actividad Economica,PESCA,0.0,12.0,0.0,0.0,12.0,0.29739776951672
2026,Marzo,Actividad Economica,INTERMEDIACIÓN FINANCIERA,1.0,9.0,0.0,0.0,10.0,0.22304832713754
2026,Marzo,Actividad Economica,NO DETERMINADO,0.0,105.0,1.0,0.0,106.0,2.60223048327137
2026,Abril,Actividad Economica,INDUSTRIAS MANUFACTURERAS,2.0,712.0,8.0,0.0,722.0,17.91645697030699
2026,Abril,Actividad Economica,"ACT. INMOBILIARIAS, EMP. Y ALQ.",2.0,615.0,2.0,0.0,619.0,15.475591343734273
2026,Abril,Actividad Economica,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES,2.0,490.0,5.0,1.0,498.0,12.33014594866633
2026,Abril,Actividad Economica,"TRANSPORTES, ALMACENAM. Y COMUN.",1.0,403.0,3.0,0.0,407.0,10.14091595369904
2026,Abril,Actividad Economica,HOTELES Y RESTAURANTES,0.0,358.0,0.0,0.0,358.0,9.00855561147458
2026,Abril,Actividad Economica,CONSTRUCCIÓN,2.0,310.0,6.0,0.0,318.0,7.80070457976849
2026,Abril,Actividad Economica,"ADM.PÚBLICA, PLANES DE SEG.,SOC.",0.0,290.0,3.0,0.0,293.0,7.297433316557619
2026,Abril,Actividad Economica,EXPLOTACIÓN DE MINAS Y CANTERAS,5.0,190.0,4.0,0.0,199.0,4.78107700050327
2026,Abril,Actividad Economica,"OTRAS ACT.,SERV.COM.,SOC.Y PER.",1.0,192.0,1.0,0.0,194.0,4.83140412682435
2026,Abril,Actividad Economica,SERVICIOS SOCIALES Y DE SALUD,3.0,162.0,3.0,19.0,187.0,4.07649723200805
2026,Abril,Actividad Economica,"AGRICULT.,GANAD.,CAZA Y SILVIC.",0.0,70.0,1.0,0.0,71.0,1.7614494212380398
2026,Abril,Actividad Economica,PESCA,0.0,36.0,0.0,0.0,36.0,0.90588827377956
